,Time,Replicate,Control,U0126
DMSO_HR_0H_1,0,1,1,0
DMSO_HR_0H_2,0,1,1,0
DMSO_HR_0H_3,0,1,1,0
DMSO_HR_3H_1,180,3,1,0
DMSO_HR_3H_2,180,3,1,0
DMSO_HR_3H_3,180,3,1,0
U126_HR_0H_1,0,4,0,1
U126_HR_0H_2,0,4,0,1
U126_HR_0H_3,0,4,0,1
U126_HR_3H_1,180,6,0,1
U126_HR_3H_2,180,6,0,1
U126_HR_3H_3,180,6,0,1
DMSO_HR_0H_4,0,1,1,0
DMSO_HR_0H_5,0,1,1,0
DMSO_HR_0H_6,0,1,1,0
DMSO_HR_8H_1,480,7,1,0
DMSO_HR_8H_2,480,7,1,0
DMSO_HR_8H_3,480,7,1,0
DMSO_HR_12H_1,720,8,1,0
DMSO_HR_12H_2,720,8,1,0
DMSO_HR_12H_3,720,8,1,0
U126_HR_0H_4,0,4,0,1
U126_HR_0H_5,0,4,0,1
U126_HR_0H_6,0,4,0,1
U126_HR_8H_1,480,9,0,1
U126_HR_8H_2,480,9,0,1
U126_HR_8H_3,480,9,0,1
U126_HR_12H_1,720,10,0,1
U126_HR_12H_2,720,10,0,1
U126_HR_12H_3,720,10,0,1
